Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad,Ad_code
68.95,35,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,2024-01-27 00:53:11,0,1001
80.23,31,68441.85,193.77,Monitored national standardization,West Jodi,1,Nauru,2024-01-04 01:39:02,0,1002
69.47,26,59785.94,236.5,Organic bottom-line service-desk,Davidton,0,San Marino,2024-01-13 20:35:42,0,1003
74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,2024-01-10 02:31:19,0,1004
68.37,35,73889.99,225.58,Cloned 5thgeneration orchestration,South Manuel,0,Iceland,2024-01-03 03:36:18,0,1001
59.99,23,59761.56,226.74,Monitored national standardization,Jamieberg,1,Norway,2024-01-19 14:30:17,0,1002
88.91,33,53852.85,208.36,Organic bottom-line service-desk,Brandonstad,0,Myanmar,2024-01-28 20:59:32,0,1003
66.0,48,24593.33,131.76,Triple-buffered reciprocal time-frame,Port Jefferybury,1,Australia,2024-01-07 01:40:15,1,1004
74.53,30,68862.0,221.51,Cloned 5thgeneration orchestration,West Colin,1,Grenada,2024-01-18 09:33:42,0,1001
69.88,20,55642.32,183.82,Monitored national standardization,Ramirezton,1,Ghana,2024-01-11 01:42:51,0,1002
47.64,49,45632.51,122.02,Organic bottom-line service-desk,West Brandonton,0,Qatar,2024-01-16 20:19:01,1,1003
83.07,37,62491.01,230.87,Triple-buffered reciprocal time-frame,East Theresashire,1,Burundi,2024-01-08 08:10:10,0,1004
69.57,48,51636.92,113.12,Cloned 5thgeneration orchestration,West Katiefurt,1,Egypt,2024-01-03 01:14:41,1,1001
79.52,24,51739.63,214.23,Monitored national standardization,North Tara,0,Bosnia and Herzegovina,2024-01-20 21:49:22,0,1002
42.95,33,30976.0,143.56,Organic bottom-line service-desk,West William,0,Barbados,2024-01-24 09:31:49,1,1003
63.45,23,52182.23,140.64,Triple-buffered reciprocal time-frame,New Travistown,1,Spain,2024-01-09 03:41:30,1,1004
55.39,37,23936.86,129.41,Cloned 5thgeneration orchestration,West Dylanberg,0,Palestinian Territory,2024-01-30 19:20:41,1,1001
82.03,41,71511.08,187.53,Monitored national standardization,Pruittmouth,0,Afghanistan,2024-01-02 07:00:58,0,1002
54.7,36,31087.54,118.39,Organic bottom-line service-desk,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),2024-01-13 07:53:55,1,1003
74.58,40,23821.72,135.51,Triple-buffered reciprocal time-frame,Millertown,1,Russian Federation,2024-01-27 04:43:07,1,1004
77.22,30,64802.33,224.44,Cloned 5thgeneration orchestration,Port Jacqueline,1,Cameroon,2024-01-05 07:52:48,0,1001
84.59,35,60015.57,226.54,Monitored national standardization,Lake Nicole,1,Cameroon,2024-01-18 13:22:35,0,1002
41.49,52,32635.7,164.83,Organic bottom-line service-desk,South John,0,Burundi,2024-01-20 08:49:33,1,1003
87.29,36,61628.72,209.93,Triple-buffered reciprocal time-frame,Pamelamouth,1,Korea,2024-01-23 09:43:43,0,1004
41.39,41,68962.32,167.22,Cloned 5thgeneration orchestration,Harperborough,0,Tokelau,2024-01-13 17:27:09,1,1001
78.74,28,64828.0,204.79,Monitored national standardization,Port Danielleberg,1,Monaco,2024-01-27 15:25:52,0,1002
48.53,28,38067.08,134.14,Organic bottom-line service-desk,West Jeremyside,1,Tuvalu,2024-01-08 10:46:14,1,1003
51.95,52,58295.82,129.23,Triple-buffered reciprocal time-frame,South Cathyfurt,0,Greece,2024-01-19 08:32:10,1,1004
70.2,34,32708.94,119.2,Cloned 5thgeneration orchestration,Palmerside,0,British Virgin Islands,2024-01-14 05:08:35,1,1001
76.02,22,46179.97,209.82,Monitored national standardization,West Guybury,0,Bouvet Island (Bouvetoya),2024-01-27 12:38:16,0,1002
67.64,35,51473.28,267.01,Organic bottom-line service-desk,Phelpschester,1,Peru,2024-01-02 20:23:15,0,1003
